County,State,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,BED_UTILIZATION
Maricopa,Arizona,62,62,0,
Pima,Arizona,295,295,2,
Fresno,California,54,54,2,
New Haven,Connecticut,216,216,1,
New Castle,Delaware,62,62,0,
District of Columbia,District of Columbia,164,164,1,
Alachua,Florida,432,278,2,
Ada,Idaho,46,46,1,
Caddo,Louisiana,111,111,1,
Rankin,Mississippi,160,160,10,0.27986822
Boone,Missouri,89,89,2,
Bernalillo,New Mexico,163,163,1,
Albany,New York,67,67,2,
Bronx,New York,311,311,2,
Cass,North Dakota,37,37,1,
Douglas,Oregon,,,0,
Allegheny,Pennsylvania,146,146,2,
Autauga,Alabama,85,55,6,0.62311333
Baldwin,Alabama,150,129,17,0.77005416
Baldwin,Alabama,58,55,4,0.28513077
Barbour,Alabama,74,30,5,0.37872148
Bibb,Alabama,35,25,4,0.43090412
Blount,Alabama,25,25,6,0.4990685
Bullock,Alabama,61,30,5,0.21287671
Butler,Alabama,72,44,7,0.18711084
Calhoun,Alabama,125,125,6,0.25909042
Calhoun,Alabama,323,272,18,0.51079774
Chambers,Alabama,115,84,15,0.39872646
Cherokee,Alabama,60,45,8,0.24253164
Clarke,Alabama,50,21,4,0.31272015
Clarke,Alabama,35,35,6,0.26684931
Clay,Alabama,45,46,4,0.28064325
Coffee,Alabama,131,99,7,0.27961808
Colbert,Alabama,198,122,10,0.12234449
Conecuh,Alabama,58,44,8,0.29383561
Covington,Alabama,88,83,8,0.33371845
Covington,Alabama,99,45,5,0.30630136
Crenshaw,Alabama,65,29,5,0.12602739
Cullman,Alabama,145,145,12,0.50817192
Dale,Alabama,89,77,6,0.26493508
Dallas,Alabama,175,109,23,0.40459973
DeKalb,Alabama,134,97,12,0.29221863
Elmore,Alabama,69,37,5,0.29389116
Elmore,Alabama,69,33,6,0.29804897
Escambia,Alabama,91,46,8,0.33484218
Escambia,Alabama,51,49,6,0.3566117
Etowah,Alabama,346,222,40,0.73435766
Etowah,Alabama,281,256,45,0.2634739
Fayette,Alabama,61,45,8,0.23372906
Franklin,Alabama,100,49,7,0.3553257
Franklin,Alabama,25,25,4,0.26641095
Geneva,Alabama,83,73,6,0.13143179
Greene,Alabama,20,20,4,0.24164383
Hale,Alabama,39,28,5,0.26086107
Houston,Alabama,235,235,26,0.61429322
Houston,Alabama,420,342,40,0.77072817
Jackson,Alabama,170,92,10,0.62826902
Jefferson,Alabama,409,400,83,0.67396295
Jefferson,Alabama,505,279,33,0.69173664
Jefferson,Alabama,402,373,72,0.79304647
Jefferson,Alabama,362,309,44,0.73197675
Jefferson,Alabama,106,12,2,0.05913242
Colbert,Alabama,185,178,12,0.38922581
Jefferson,Alabama,1157,1100,85,0.8154819
Jefferson,Alabama,310,187,21,0.45702147
Jefferson,Alabama,313,129,0,
Jefferson,Alabama,595,425,26,0.4073489
Lauderdale,Alabama,263,233,36,0.55744457
Lawrence,Alabama,98,43,6,0.15132208
Lee,Alabama,314,299,20,0.68810189
Limestone,Alabama,71,66,10,0.51843089
Madison,Alabama,881,877,67,0.71506852
Madison,Alabama,180,183,16,0.57648027
Marengo,Alabama,99,37,5,0.36645687
Marion,Alabama,71,61,4,0.15535595
Marion,Alabama,49,36,4,0.23843227
Marshall,Alabama,150,150,20,0.43511954
Mobile,Alabama,406,183,32,0.87147242
Mobile,Alabama,349,349,33,0.54951525
Mobile,Alabama,669,611,38,0.65003699
Mobile,Alabama,263,198,20,0.77436006
Mobile,Alabama,152,101,118,0.62734205
Monroe,Alabama,94,49,8,0.11646631
Montgomery,Alabama,150,150,12,0.60898942
Montgomery,Alabama,143,143,1,
Montgomery,Alabama,432,320,26,0.70980448
Montgomery,Alabama,344,270,34,0.72486049
Morgan,Alabama,273,222,23,0.49895102
Pike,Alabama,97,97,9,0.18395707
Russell,Alabama,70,47,8,0.38933256
St. Clair,Alabama,40,40,6,0.58636987
Shelby,Alabama,252,212,32,0.57423109
Sumter,Alabama,33,33,6,0.45330012
Talladega,Alabama,168,122,8,0.25951043
Talladega,Alabama,122,103,6,0.20712861
Tallapoosa,Alabama,46,46,8,0.094997019
Tallapoosa,Alabama,81,34,6,0.46046078
Tuscaloosa,Alabama,583,524,52,0.7311095
Tuscaloosa,Alabama,96,96,0,
Walker,Alabama,267,207,12,0.29285949
Washington,Alabama,25,15,3,0.43178082
Wilcox,Alabama,30,21,4,0.065753423
Winston,Alabama,49,49,4,0.29197651
Anchorage,Alaska,401,391,46,0.74009299
Anchorage,Alaska,250,164,14,0.56516874
Anchorage,Alaska,150,174,30,0.60805118
Bethel,Alaska,50,34,6,0.39991942
Kennebec,Maine,167,167,2,
Fairbanks North Star,Alaska,152,122,13,0.39546373
Juneau,Alaska,73,45,9,0.36596653
Kenai Peninsula,Alaska,49,49,6,0.63282079
Kenai Peninsula,Alaska,6,6,1,0.21004567
Kenai Peninsula,Alaska,22,21,4,0.37521201
Ketchikan Gateway,Alaska,25,25,4,0.38246575
Baltimore City,Maryland,100,100,2,
Kodiak Island,Alaska,25,24,4,0.20011416
Matanuska-Susitna,Alaska,125,74,14,0.66927063
Nome,Alaska,18,18,3,0.40167427
Sitka,Alaska,25,27,4,0.33860984
Wrangell,Alaska,8,8,1,0.2875683
Hampshire,Massachusetts,145,145,0,
Middlesex,Massachusetts,65,65,1,
Apache,Arizona,56,56,10,0.46883562
Apache,Arizona,60,60,11,0.22191781
Apache,Arizona,25,25,4,0.10421918
Apache,Arizona,21,21,4,0.23710473
Cochise,Arizona,14,14,2,0.29726028
Cochise,Arizona,22,22,4,0.18281445
Cochise,Arizona,24,24,4,0.090867579
Cochise,Arizona,100,75,12,0.47696805
Coconino,Arizona,264,242,41,0.57496887
Coconino,Arizona,25,25,4,0.10027397
Coconino,Arizona,73,73,13,0.39703509
Graham,Arizona,127,8,1,0.45136985
Gila,Arizona,25,25,4,0.56054795
Gila,Arizona,25,25,4,0.39209875
Graham,Arizona,49,49,9,0.171149
La Paz,Arizona,25,25,3,0.35605478
Maricopa,Arizona,595,615,51,0.70869809
Maricopa,Arizona,434,410,85,0.51876193
Maricopa,Arizona,586,501,32,0.80072182
Maricopa,Arizona,206,144,28,0.61058354
Maricopa,Arizona,338,96,49,0.78661072
Maricopa,Arizona,341,337,59,0.51435924
Maricopa,Arizona,758,323,52,0.49089497
Maricopa,Arizona,262,262,20,0.57754886
Maricopa,Arizona,228,228,16,0.18209064
Maricopa,Arizona,766,622,46,0.72841477
Maricopa,Arizona,133,133,23,0.15672056
Maricopa,Arizona,136,120,14,0.43527398
Maricopa,Arizona,427,427,25,0.62469125
Maricopa,Arizona,359,318,26,0.58799863
Maricopa,Arizona,555,499,40,0.60060394
Maricopa,Arizona,204,204,36,0.71410155
Maricopa,Arizona,394,314,34,0.52295613
Maricopa,Arizona,217,217,38,0.59978038
Maricopa,Arizona,292,266,30,0.77646512
Maricopa,Arizona,111,111,19,0.48888066
Maricopa,Arizona,23,23,4,0.24586064
Maricopa,Arizona,32,32,6,0.21241438
Maricopa,Arizona,200,179,20,0.74362898
Maricopa,Arizona,19,19,3,0.15789473
Maricopa,Arizona,24,24,4,0.22979452
Maricopa,Arizona,317,317,24,0.60795993
Maricopa,Arizona,197,198,24,0.71210736
Maricopa,Arizona,178,142,30,0.45948294
Maricopa,Arizona,177,165,24,0.80312163
Maricopa,Arizona,120,120,8,0.54415524
Maricopa,Arizona,435,433,81,0.52673608
Mohave,Arizona,84,72,12,0.25780061
Mohave,Arizona,139,139,32,0.40987483
Mohave,Arizona,152,144,16,0.46348935
Mohave,Arizona,235,196,20,0.45437518
Navajo,Arizona,101,89,12,0.42918271
Navajo,Arizona,6,6,1,0.23835616
Navajo,Arizona,40,40,7,0.24842466
Navajo,Arizona,25,25,4,0.32438356
Pima,Arizona,146,111,36,0.41184747
Pima,Arizona,14,14,2,0.19197652
Pima,Arizona,300,281,35,0.52368742
Pima,Arizona,245,132,12,0.69751275
Pima,Arizona,625,479,90,0.73160481
Pima,Arizona,596,441,36,0.84180415
Pima,Arizona,400,349,49,0.3515563
Pima,Arizona,486,451,32,0.34136623
Pinal,Arizona,141,141,22,0.41478676
Santa Cruz,Arizona,25,25,4,0.2758356
Yavapai,Arizona,21,21,0,
Yavapai,Arizona,206,134,26,0.55399656
Yavapai,Arizona,98,87,13,0.51465911
Yuma,Arizona,406,406,42,0.4097375
Arkansas,Arkansas,49,49,9,0.18870562
Arkansas,Arkansas,25,25,4,0.090958901
Ashley,Arkansas,33,25,6,0.40383562
Baxter,Arkansas,268,170,17,0.51451904
Benton,Arkansas,73,44,6,0.24122043
Benton,Arkansas,208,206,24,0.54176086
Benton,Arkansas,25,25,4,0.74947947
Boone,Arkansas,174,120,24,0.19586758
Bradley,Arkansas,33,25,4,0.2269589
Carroll,Arkansas,25,25,5,0.1509041
Chicot,Arkansas,25,25,4,0.36624658
Clark,Arkansas,25,25,4,0.43671232
Clay,Arkansas,25,25,4,0.49654794
Cleburne,Arkansas,25,25,4,0.35978082
Columbia,Arkansas,49,30,6,0.26273972
Providence,Rhode Island,73,73,2,
Conway,Arkansas,25,25,4,0.3151781
Craighead,Arkansas,228,100,36,0.72596651
Craighead,Arkansas,378,337,30,0.66164941
Crawford,Arkansas,103,35,8,0.28195488
Cross,Arkansas,25,15,3,0.56529683
Dallas,Arkansas,25,22,4,0.089414693
Desha,Arkansas,25,25,4,0.17238356
Desha,Arkansas,25,25,4,0.34169862
Drew,Arkansas,49,49,5,0.40402573
Faulkner,Arkansas,150,139,17,0.55220264
Franklin,Arkansas,25,25,4,0.1079452
Garland,Arkansas,50,1,0,0.002739726
Garland,Arkansas,163,126,16,0.65940422
Garland,Arkansas,282,229,25,0.59670991
Greene,Arkansas,129,114,8,0.28514779
Hempstead,Arkansas,79,67,8,0.092496425
Hot Spring,Arkansas,72,64,6,0.39559075
Charleston,South Carolina,132,132,0,
Howard,Arkansas,20,20,6,0.2920548
Independence,Arkansas,235,170,12,0.47740531
Jefferson,Arkansas,471,271,34,0.43204772
Johnson,Arkansas,90,57,8,0.21523672
Lawrence,Arkansas,25,25,4,0.30276242
Logan,Arkansas,16,16,3,0.19400685
Logan,Arkansas,25,24,4,0.15742008
Mississippi,Arkansas,25,25,4,0.16372603
Mississippi,Arkansas,99,99,5,0.3041926
Ouachita,Arkansas,98,87,8,0.14857502
Phillips,Arkansas,155,127,6,0.095178515
Polk,Arkansas,65,41,6,0.25706649
Pope,Arkansas,170,137,11,0.40777922
Pulaski,Arkansas,225,177,17,0.61230552
Pulaski,Arkansas,450,450,28,0.81248623
Pulaski,Arkansas,615,393,23,0.64317012
Pulaski,Arkansas,538,256,2,
Pulaski,Arkansas,827,683,54,0.6018452
Pulaski,Arkansas,49,49,9,0.38719597
Pulaski,Arkansas,110,112,20,0.63172698
Pulaski,Arkansas,69,59,14,0.41100535
Pulaski,Arkansas,336,336,36,0.66382909
Randolph,Arkansas,50,32,2,0.17696886
St. Francis,Arkansas,118,56,6,0.28277886
Saline,Arkansas,177,130,16,0.38263434
Scott,Arkansas,24,24,4,0.13470319
Sebastian,Arkansas,492,249,31,0.66350251
Sebastian,Arkansas,336,343,38,0.52161825
Stone,Arkansas,25,25,4,0.20767124
Union,Arkansas,166,111,16,0.32552543
Van Buren,Arkansas,25,25,4,0.52065754
Washington,Arkansas,78,73,0,
Washington,Arkansas,20,20,4,0.34931508
Washington,Arkansas,222,222,21,0.50158286
Washington,Arkansas,425,320,40,0.61330998
White,Arkansas,438,245,13,0.58266109
Yell,Arkansas,41,30,5,0.50547945
Yell,Arkansas,35,25,4,0.17074627
Alameda,California,171,195,15,0.28039339
Alameda,California,58,296,36,0.48413488
Alameda,California,91,48,6,0.64257991
Alameda,California,415,320,52,0.51471359
Alameda,California,66,37,8,0.95120329
Alameda,California,167,167,23,0.41284555
Alameda,California,339,337,30,0.41328716
Alameda,California,315,365,50,0.64315253
Alameda,California,130,130,24,0.79856998
Amador,California,52,52,6,0.47054794
Butte,California,298,298,33,0.72739333
Butte,California,133,153,10,0.85763472
Calaveras,California,25,25,5,0.34421918
Colusa,California,42,42,0,0.16268754
Contra Costa,California,244,244,36,0.59793943
Contra Costa,California,145,145,12,0.52136576
Contra Costa,California,123,123,12,0.38235885
Contra Costa,California,150,138,16,0.42658329
Contra Costa,California,124,124,8,0.86705703
Contra Costa,California,233,233,24,0.51744372
Contra Costa,California,554,506,55,0.46353891
Del Norte,California,49,39,6,0.51801896
El Dorado,California,111,110,20,0.51563311
El Dorado,California,63,63,8,0.29088932
Fresno,California,49,49,9,0.2214146
Fresno,California,685,663,88,0.75807005
Fresno,California,436,385,40,0.79318273
Fresno,California,208,208,24,0.85026342
Fresno,California,27,27,5,0.22668695
Fresno,California,169,169,12,0.48202968
Fresno,California,57,57,10,0.54568613
Glenn,California,47,15,3,1
Humboldt,California,9,9,2,0.34946728
Humboldt,California,35,25,5,0.48843837
Humboldt,California,78,49,8,0.42583171
Humboldt,California,138,134,12,0.67464733
Berkeley,West Virginia,67,67,1,
Imperial,California,161,161,20,0.39530334
Imperial,California,107,107,8,0.44025093
Inyo,California,4,4,1,0.13150685
Inyo,California,25,25,4,0.35342467
Kern,California,27,24,4,0.19303653
Kern,California,25,20,4,0.32490119
Kern,California,222,222,12,0.58510429
Kern,California,144,144,28,0.48699236
Kern,California,64,43,4,0.29378784
Kern,California,105,105,10,0.19720809
Kern,California,47,47,11,0.72935003
Kern,California,72,25,4,0.66323286
Kern,California,254,254,34,0.64435339
Kern,California,408,421,48,0.4365145
Kings,California,173,142,22,0.49605718
Lake,California,32,25,4,0.62290412
Lake,California,30,25,4,0.6968767
Lassen,California,25,25,4,0.35638356
Los Angeles,California,8,8,1,0.47636986
Los Angeles,California,495,379,48,0.87363499
Los Angeles,California,357,357,30,0.48628986
Los Angeles,California,116,123,12,0.40563536
Los Angeles,California,350,333,20,0.63388044
Los Angeles,California,187,187,19,0.54568899
Los Angeles,California,218,218,24,0.36908382
Los Angeles,California,460,460,96,0.72782606
Los Angeles,California,352,352,38,0.50030357
Los Angeles,California,360,250,30,0.5796594
Los Angeles,California,488,352,24,0.5733344
Los Angeles,California,217,217,18,0.9287166
Los Angeles,California,318,318,28,0.61069185
Los Angeles,California,100,100,15,0.52477759
Los Angeles,California,107,82,14,0.40932176
Los Angeles,California,81,81,4,0.46896669
Los Angeles,California,13,13,2,0.39178082
Los Angeles,California,353,353,34,0.67330092
Los Angeles,California,384,384,36,0.73595893
Los Angeles,California,281,281,38,0.75124687
Los Angeles,California,354,318,46,0.45378089
Los Angeles,California,345,317,36,0.44145888
Los Angeles,California,255,241,24,0.34088585
Los Angeles,California,158,186,12,0.32184416
Los Angeles,California,117,117,7,0.25423253
Los Angeles,California,184,157,18,0.58776718
Los Angeles,California,107,107,10,0.25812316
Los Angeles,California,412,412,40,0.60238707
Los Angeles,California,392,377,38,0.50578368
Los Angeles,California,348,318,49,0.57467043
Los Angeles,California,415,323,12,0.60778803
Los Angeles,California,121,221,8,0.78940064
Los Angeles,California,329,316,24,0.65709209
Los Angeles,California,266,266,23,0.55288905
Los Angeles,California,237,237,1,
Los Angeles,California,445,445,120,0.97097915
Los Angeles,California,118,101,13,0.54417467
Los Angeles,California,327,327,28,0.55695194
Los Angeles,California,202,202,25,0.52308422
Los Angeles,California,570,493,56,0.54675037
Los Angeles,California,95,133,23,0.36673191
Los Angeles,California,481,481,20,0.54437959
Los Angeles,California,199,199,18,0.42658499
Los Angeles,California,578,503,30,0.59047621
Los Angeles,California,257,257,20,0.38774052
Los Angeles,California,103,103,10,0.61917806
Los Angeles,California,380,310,39,0.5785771
Los Angeles,California,260,228,25,0.48600096
Los Angeles,California,411,369,60,0.64652866
Los Angeles,California,320,320,67,0.37524828
Los Angeles,California,112,144,32,0.2359589
Los Angeles,California,265,265,31,0.29746187
Los Angeles,California,272,257,12,0.3919194
Los Angeles,California,156,156,16,0.41687742
Los Angeles,California,101,101,4,0.50069171
Los Angeles,California,210,182,10,0.72072858
Los Angeles,California,104,104,10,0.38187566
Los Angeles,California,362,313,31,0.53809792
Los Angeles,California,133,103,12,0.42021546
Los Angeles,California,204,204,36,0.31720388
Los Angeles,California,249,246,27,0.52706313
Los Angeles,California,234,212,12,0.63448071
Los Angeles,California,112,112,16,0.50244617
Los Angeles,California,500,500,1,
Los Angeles,California,334,196,18,0.63140899
Los Angeles,California,889,880,72,0.82688123
Los Angeles,California,172,172,32,0.65119463
Los Angeles,California,101,95,8,0.35123289
Los Angeles,California,105,105,18,0.59384215
Los Angeles,California,102,102,10,0.33094278
Los Angeles,California,60,60,7,0.67168951
Los Angeles,California,91,285,22,0.50077385
Los Angeles,California,274,262,22,0.31747043
Los Angeles,California,401,301,46,0.71421289
Los Angeles,California,85,60,10,0.84483701
Los Angeles,California,303,270,18,0.52208018
Los Angeles,California,390,393,21,0.55375928
Madera,California,106,106,10,0.36068752
Marin,California,116,116,12,0.35432217
Marin,California,218,218,10,0.46393114
Marin,California,47,47,8,0.36012825
Mariposa,California,18,18,3,0.70958906
Mendocino,California,25,25,4,0.77863014
Mendocino,California,49,25,4,0.44284931
Mendocino,California,68,50,6,0.62383562
Merced,California,186,186,20,0.65464723
Merced,California,40,40,4,0.25472602
Modoc,California,4,4,1,0.2589041
Monterey,California,263,240,13,0.51848173
Monterey,California,150,148,10,0.56516105
Monterey,California,240,227,20,0.62386096
Monterey,California,94,94,4,0.37915984
Napa,California,208,152,36,0.50975126
Napa,California,151,138,12,0.47751552
Nevada,California,104,104,4,0.49315068
Nevada,California,33,25,6,0.57884932
Orange,California,320,290,51,0.55913085
Orange,California,426,409,32,0.48659277
Orange,California,223,223,32,0.54734319
Orange,California,443,443,31,0.6258899
Orange,California,167,167,12,0.29272413
Orange,California,402,352,58,0.79727584
Orange,California,82,82,12,0.54119611
Orange,California,400,400,36,0.57683563
Orange,California,523,523,73,0.38694948
Orange,California,122,122,21,0.91385585
Orange,California,162,146,17,0.74903357
Los Angeles,California,600,594,148,0.80121768
Los Angeles,California,415,390,46,0.61530733
Orange,California,167,167,20,0.40111557
Orange,California,222,218,21,0.54108334
Orange,California,114,114,8,0.23395818
Orange,California,124,124,8,0.24140522
Orange,California,262,219,60,0.52105045
Orange,California,248,248,22,0.44993669
Orange,California,189,189,22,0.40545285
Orange,California,75,75,12,0.26812786
Orange,California,254,254,49,0.42960846
Orange,California,109,109,9,0.30503958
Los Angeles,California,158,114,12,0.52828646
Placer,California,64,64,8,0.43942636
Placer,California,328,273,32,0.71924329
Plumas,California,9,9,2,0.34155253
Plumas,California,16,17,4,0.36148268
Plumas,California,10,10,2,0.21068493
Riverside,California,94,94,10,0.38032645
Riverside,California,84,84,10,0.41239399
Riverside,California,226,226,22,0.48387682
Riverside,California,463,345,34,0.50803089
Riverside,California,145,130,16,0.38221285
Riverside,California,51,51,4,0.12645715
Riverside,California,304,304,18,0.37267485
Riverside,California,160,160,22,0.50094175
Riverside,California,362,423,45,0.72145474
Riverside,California,353,325,31,0.70848471
Riverside,California,193,191,13,0.4762103
Riverside,California,79,61,6,0.44873118
Riverside,California,478,478,89,0.67558736
Sacramento,California,419,342,21,0.41636792
Sacramento,California,523,523,80,0.66825217
Sacramento,California,50,50,1,
Sacramento,California,287,287,34,0.47520405
Sacramento,California,106,106,8,0.62101316
Sacramento,California,370,370,56,0.68547207
Sacramento,California,241,209,30,0.67042011
Sacramento,California,158,158,20,0.58080661
Sacramento,California,625,598,84,0.84651119
San Benito,California,25,49,8,0.33447021
San Bernardino,California,30,30,4,0.576895
San Bernardino,California,212,212,20,0.84393901
San Bernardino,California,371,463,41,0.71049982
San Bernardino,California,366,366,62,0.70634776
San Bernardino,California,59,55,4,0.24448319
San Bernardino,California,195,195,12,0.63668424
San Bernardino,California,363,363,24,0.5382241
San Bernardino,California,185,185,21,0.41734174
San Bernardino,California,342,328,47,0.54003507
San Bernardino,California,450,626,80,0.58018297
San Bernardino,California,112,112,14,0.36878669
San Bernardino,California,9,9,2,0.16255708
San Bernardino,California,106,106,8,0.24057896
San Bernardino,California,270,270,0,
San Bernardino,California,148,148,18,0.74787116
San Bernardino,California,101,101,10,0.53207648
San Bernardino,California,25,25,4,0.14082192
San Bernardino,California,17,17,3,0.18791297
San Diego,California,406,536,32,0.49546674
San Diego,California,193,171,12,0.69515342
San Diego,California,173,150,24,0.51676714
San Diego,California,256,256,0,
San Diego,California,306,254,28,0.25355411
San Diego,California,95,95,12,0.53084356
San Diego,California,93,286,48,0.80889934
San Diego,California,368,290,28,0.52045345
San Diego,California,446,487,56,0.7185452
San Diego,California,656,459,74,0.5007574
San Diego,California,59,59,7,0.32454145
San Diego,California,349,243,35,0.78986412
San Diego,California,432,365,59,0.63846874
San Diego,California,291,291,15,0.52818346
San Diego,California,390,381,58,0.8276577
San Diego,California,448,430,48,0.7159223
San Francisco,California,120,120,10,0.32535508
San Francisco,California,153,137,8,0.31466854
San Francisco,California,284,284,58,0.79859155
San Francisco,California,239,239,32,0.60870063
San Francisco,California,259,156,34,0.31141552
San Francisco,California,11,6,1,0.042465754
San Francisco,California,240,113,19,0.47482118
San Francisco,California,590,785,122,0.8194381
San Francisco,California,65,65,6,0.22579557
San Francisco,California,124,124,1,
San Joaquin,California,194,182,10,0.4907572
San Joaquin,California,61,213,26,0.48170301
San Joaquin,California,152,196,16,0.6314649
San Joaquin,California,202,170,12,0.21431103
San Joaquin,California,355,348,30,0.72087073
San Joaquin,California,73,73,8,0.54895854
San Joaquin,California,77,77,8,0.39124712
San Luis Obispo,California,98,98,11,0.48011389
San Luis Obispo,California,122,122,18,0.38019311
San Luis Obispo,California,162,162,17,0.40904787
San Luis Obispo,California,67,53,8,0.39172912
San Mateo,California,241,241,24,0.53852099
San Mateo,California,153,149,20,0.46886089
San Mateo,California,16,16,3,0.051297169
San Mateo,California,208,208,16,0.24700359
San Mateo,California,,,28,0.20832662
San Mateo,California,509,69,7,0.56688505
San Mateo,California,120,120,15,0.45372146
Santa Barbara,California,60,60,6,0.29598173
Santa Barbara,California,226,191,28,0.55450851
Santa Barbara,California,52,28,8,0.35508806
Santa Barbara,California,461,325,40,0.69697744
Santa Barbara,California,11,11,2,0.15143213
Santa Clara,California,396,345,124,0.72455829
Santa Clara,California,404,309,24,0.65566778
Santa Clara,California,583,447,59,0.90326375
Santa Clara,California,247,235,24,0.42975226
Santa Clara,California,72,72,8,0.41221461
Santa Clara,California,715,715,2,
Santa Clara,California,275,388,39,0.51100129
Santa Clara,California,327,327,38,0.6288048
Santa Clara,California,264,258,34,0.83723056
Santa Clara,California,334,324,22,0.29362422
Santa Clara,California,681,852,59,0.50686938
Santa Cruz,California,106,106,6,0.34205222
Santa Cruz,California,222,202,16,0.62704462
Santa Cruz,California,28,30,5,0.25050229
Shasta,California,226,205,37,0.40453058
Shasta,California,10,10,2,0.083835617
Shasta,California,266,267,44,0.62779742
Shasta,California,16,22,4,0.23412204
Siskiyou,California,33,25,4,0.3270137
Siskiyou,California,28,25,4,0.50673974
Solano,California,248,200,40,0.42310959
Solano,California,106,106,12,0.44661307
Solano,California,132,132,24,0.6533494
Sonoma,California,37,37,5,0.11787335
Sonoma,California,173,173,20,0.4983609
Sonoma,California,24,48,6,0.21900685
Sonoma,California,80,80,9,0.34352741
Sonoma,California,298,282,26,0.6689738
Sonoma,California,84,84,12,0.77459228
Sonoma,California,26,25,4,0.31758904
Stanislaus,California,209,209,12,0.44601166
Stanislaus,California,35,35,5,0.22630137
Stanislaus,California,23,23,4,0.10589637
Stanislaus,California,419,419,35,0.49240595
Stanislaus,California,394,380,22,0.80302811
Sutter,California,14,14,2,0.2258317
Tehama,California,76,49,8,0.55353647
Trinity,California,25,25,4,0.23736987
Tulare,California,448,403,41,0.74010676
Tulare,California,108,108,14,0.085227273
Tulare,California,167,128,10,0.50723457
Tuolumne,California,72,84,6,0.48225701
Ventura,California,144,144,24,0.55709666
Ventura,California,265,242,20,0.53732592
Ventura,California,180,272,52,0.43028808
Ventura,California,58,81,8,0.49436834
Ventura,California,250,201,21,0.62652493
Ventura,California,321,287,24,0.67084152
Ventura,California,25,25,4,0.34038356
Yolo,California,48,48,6,0.60970318
Yolo,California,74,77,8,0.34146783
Yuba,California,221,149,24,0.70734745
Adams,Colorado,98,89,8,0.33652455
Adams,Colorado,698,650,144,0.83554691
Adams,Colorado,157,127,16,0.57092005
Adams,Colorado,444,434,36,0.62758219
Alamosa,Colorado,49,49,6,0.37791446
Arapahoe,Colorado,346,309,45,0.67664319
Arapahoe,Colorado,408,327,58,0.7616182
Douglas,Colorado,284,284,30,0.52737141
Arapahoe,Colorado,231,159,24,0.66039461
Archuleta,Colorado,11,11,2,0.29564133
Boulder,Colorado,234,183,24,0.69692343
Boulder,Colorado,114,108,8,0.34954339
Boulder,Colorado,186,131,16,0.38569486
Chaffee,Colorado,25,25,2,0.43364385
Cheyenne,Colorado,25,11,2,0.056787048
Delta,Colorado,49,49,6,0.27369303
Denver,Colorado,46,24,4,0.021347033
Denver,Colorado,422,226,35,0.48808181
Denver,Colorado,368,176,36,0.51249999
Denver,Colorado,400,361,30,0.63547224
Denver,Colorado,555,378,55,0.64135385
Denver,Colorado,680,307,71,0.59720945
Jefferson,Colorado,237,220,76,0.69829392
Douglas,Colorado,170,165,16,0.48304176
Eagle,Colorado,56,56,5,0.24907045
El Paso,Colorado,583,515,46,0.64561266
El Paso,Colorado,364,445,45,0.59483629
Fremont,Colorado,25,25,4,0.59517807
Garfield,Colorado,78,41,5,0.80400938
Garfield,Colorado,25,12,3,0.43378997
Gunnison,Colorado,24,20,3,0.23342466
Huerfano,Colorado,20,16,3,0.13407534
Adams,Colorado,100,92,20,0.55979753
Jefferson,Colorado,338,186,18,0.6358816
Kit Carson,Colorado,19,19,3,0.24383561
Lake,Colorado,25,8,1,0.094863012
La Plata,Colorado,12,12,2,0.2020548
La Plata,Colorado,82,82,11,0.44904777
Larimer,Colorado,115,115,11,0.22777843
Larimer,Colorado,255,225,12,0.60177779
Larimer,Colorado,23,23,4,0.1329315
Larimer,Colorado,174,174,20,0.76367503
Las Animas,Colorado,25,25,4,0.2570959
Logan,Colorado,25,25,4,0.32405481
Mesa,Colorado,53,53,1,
Mesa,Colorado,60,53,12,0.32184026
Mesa,Colorado,346,257,18,0.6038484
Moffat,Colorado,25,25,4,0.35309589
Montezuma,Colorado,25,25,4,0.38454795
Montrose,Colorado,75,50,8,0.36652055
Morgan,Colorado,50,36,6,0.1456621
Morgan,Colorado,25,25,4,0.16361643
Otero,Colorado,25,25,5,0.49082193
Phillips,Colorado,15,15,3,0.1848816
Pitkin,Colorado,25,25,4,0.21939726
Prowers,Colorado,25,25,4,0.32734248
Pueblo,Colorado,408,42,6,0.52393997
Pueblo,Colorado,350,268,11,0.71025437
Rio Blanco,Colorado,10,10,2,0.41643837
Rio Blanco,Colorado,25,25,4,0.5587945
Rio Grande,Colorado,17,17,3,0.39693797
Routt,Colorado,39,39,4,0.22381455
Summit,Colorado,35,34,8,0.25253826
Teller,Colorado,15,15,3,0.29461187
Weld,Colorado,378,225,26,0.52367735
Yuma,Colorado,15,15,3,0.2645548
Yuma,Colorado,15,15,3,0.10684931
Fairfield,Connecticut,288,288,36,0.58706242
Fairfield,Connecticut,191,191,14,0.66559565
Fairfield,Connecticut,348,348,32,0.70557392
Fairfield,Connecticut,181,181,10,0.61339587
Fairfield,Connecticut,350,350,41,0.61780822
Fairfield,Connecticut,235,235,40,0.50098515
Hartford,Connecticut,84,84,24,0.61064333
Hartford,Connecticut,138,138,20,0.64337897
Hartford,Connecticut,867,702,84,0.81345665
Hartford,Connecticut,140,140,32,0.53637964
Hartford,Connecticut,106,106,14,0.57761693
Hartford,Connecticut,23,23,4,0.007027993
